timestamp_hour_ist,temperature_2m_c,relative_humidity_2m_pct,rain_mm,apparent_temperature_c,weather_source_note
2025-01-01 00:00:00,25.85,62.9,0.0,25.97,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 01:00:00,25.46,61.4,0.0,25.51,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 02:00:00,24.8,66.6,0.0,25.06,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 03:00:00,24.72,69.5,0.0,25.1,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 04:00:00,25.6,69.6,0.0,25.99,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 05:00:00,25.56,67.6,0.0,25.87,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 06:00:00,26.45,73.5,1.15,26.99,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 07:00:00,27.99,64.9,0.0,28.19,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 08:00:00,28.43,64.5,0.0,28.61,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 09:00:00,29.61,71.2,0.0,30.06,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 10:00:00,28.86,61.4,0.0,28.92,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 11:00:00,29.32,65.5,0.0,29.54,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 12:00:00,30.26,57.4,0.0,30.16,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 13:00:00,29.46,69.6,0.0,29.84,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 14:00:00,29.2,62.8,0.0,29.31,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 15:00:00,29.37,59.5,0.0,29.35,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 16:00:00,27.95,59.5,0.0,27.93,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 17:00:00,27.77,62.5,0.0,27.87,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 18:00:00,26.48,59.5,0.0,26.46,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 19:00:00,25.62,65.5,0.0,25.84,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 20:00:00,24.97,67.7,0.0,25.27,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 21:00:00,25.65,68.7,0.0,26.0,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 22:00:00,25.72,69.6,0.0,26.11,synthetic_open_meteo_style_for_demo_not_measured
2025-01-01 23:00:00,25.96,68.0,0.0,26.28,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 00:00:00,24.56,67.5,0.0,24.86,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 01:00:00,25.78,69.3,0.0,26.15,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 02:00:00,26.15,62.8,0.0,26.26,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 03:00:00,24.74,75.8,0.0,25.38,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 04:00:00,25.01,63.4,0.0,25.15,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 05:00:00,25.15,65.6,0.0,25.37,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 06:00:00,25.6,65.8,0.0,25.83,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 07:00:00,27.88,59.7,0.0,27.87,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 08:00:00,28.24,65.8,0.0,28.47,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 09:00:00,29.41,67.2,0.0,29.7,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 10:00:00,29.41,66.2,0.0,29.66,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 11:00:00,30.91,66.1,0.0,31.15,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 12:00:00,31.29,61.4,0.0,31.34,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 13:00:00,29.44,62.2,0.0,29.53,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 14:00:00,30.01,70.7,0.0,30.44,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 15:00:00,29.06,60.0,0.0,29.06,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 16:00:00,28.33,65.1,0.0,28.54,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 17:00:00,27.85,64.7,0.0,28.04,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 18:00:00,25.85,63.6,0.0,25.99,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 19:00:00,25.25,62.0,0.0,25.33,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 20:00:00,25.77,71.4,0.0,26.23,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 21:00:00,25.24,63.9,0.0,25.39,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 22:00:00,25.86,63.8,0.0,26.01,synthetic_open_meteo_style_for_demo_not_measured
2025-01-02 23:00:00,25.72,65.5,0.0,25.94,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 00:00:00,26.22,60.5,0.0,26.24,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 01:00:00,26.38,66.8,0.0,26.65,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 02:00:00,26.03,69.7,0.0,26.42,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 03:00:00,25.57,69.7,0.0,25.96,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 04:00:00,26.2,65.8,0.0,26.43,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 05:00:00,25.4,66.0,0.0,25.64,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 06:00:00,26.05,63.0,0.0,26.17,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 07:00:00,27.92,59.1,0.0,27.88,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 08:00:00,27.35,70.5,0.0,27.77,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 09:00:00,28.68,76.3,2.6,29.33,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 10:00:00,29.69,55.6,0.0,29.52,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 11:00:00,29.31,62.9,0.0,29.42,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 12:00:00,30.07,65.6,0.0,30.29,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 13:00:00,30.6,65.4,0.0,30.81,synthetic_open_meteo_style_for_demo_not_measured
2025-01-03 14:00:00,28.67,61.9,0.0,28.75,synthetic_open_meteo_style_for_demo_not_measured
